mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model
277.53567419052126,2.7727199591263543,3.4164193153381346,0.15225704121194883,1100,12,8,0.8,0.04,20,0.0001,"{'n_estimators': 1100, 'min_samples_split': 12, 'min_samples_leaf': 8, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 0.0001}",0.7246296839161182,0.7227081076313566,0.7277756464187559,0.736666003803813,0.7291032281420975,0.7281765339824282,0.00480779373314731,48,0.9109535970676006,0.9104256522239585,0.9111113253929792,0.9107881061921455,0.909693493935115,0.9105944349623598,0.0005047502407545262,RF
210.96685633659362,3.168021208379161,3.248307466506958,0.16451892700264117,900,48,8,,0.04,20,0.0,"{'n_estimators': 900, 'min_samples_split': 48, 'min_samples_leaf': 8, 'max_samples': None, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 0.0}",0.7254506383722845,0.7235279812671396,0.7282628404183175,0.7383659920762394,0.729552037283486,0.7290318978834934,0.005120660632879756,33,0.9562247205018506,0.9538934700549124,0.9558147296874597,0.9552032063422221,0.9555092509858737,0.9553290755144637,0.0007933863124218529,RF
158.87562880516052,4.625778195031385,2.0913793087005614,0.10496519283224735,700,12,12,0.8,0.04,28,0.0001,"{'n_estimators': 700, 'min_samples_split': 12, 'min_samples_leaf': 12, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': 28, 'ccp_alpha': 0.0001}",0.7233535001501422,0.7220149550873247,0.7266984432920829,0.7354357303473912,0.7284114440722214,0.7271828145898326,0.004716464467715615,54,0.8901086953889228,0.8907490755627471,0.8882498789725245,0.8886728964481527,0.8904659118053221,0.8896492916355339,0.000999914832395369,RF
253.56673555374147,2.6680599550760804,4.05690746307373,0.3745633649518658,1100,48,12,,0.04,,1e-05,"{'n_estimators': 1100, 'min_samples_split': 48, 'min_samples_leaf': 12, 'max_samples': None, 'max_features': 0.04, 'max_depth': None, 'ccp_alpha': 1e-05}",0.7248293909730086,0.7234947205493014,0.7286608028798842,0.7365296784095372,0.7295245845634538,0.728607835475037,0.004561127426737141,41,0.9473346060690807,0.9473590151131103,0.9477303645508166,0.9481718477982941,0.9473923582015584,0.9475976383465721,0.0003211229372769772,RF
279.1696171760559,3.7645697524359973,4.3665422916412355,0.23815528187340398,1100,24,12,,0.04,28,3e-05,"{'n_estimators': 1100, 'min_samples_split': 24, 'min_samples_leaf': 12, 'max_samples': None, 'max_features': 0.04, 'max_depth': 28, 'ccp_alpha': 3e-05}",0.7271979170755856,0.7242117734987941,0.7285373676186397,0.7376007831979564,0.730230135784906,0.7295555954351765,0.004479551737466856,16,0.973402352287935,0.9726941088786892,0.9737970748443087,0.9737427112652808,0.9734536920454292,0.9734179878643285,0.0003936171416907185,RF
194.5169309616089,2.3298238060715004,3.5543636322021483,0.19371627786818976,900,24,12,0.8,0.04,20,3e-05,"{'n_estimators': 900, 'min_samples_split': 24, 'min_samples_leaf': 12, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 3e-05}",0.724974812296677,0.7239852702535288,0.7292729822199787,0.7370280492966006,0.7294998444821766,0.7289521917097923,0.004606781123984494,35,0.9591552410866327,0.958989407706242,0.958849796681489,0.958174882726352,0.9590724247787791,0.958848350595899,0.0003515250157784544,RF
185.4876871585846,2.747062552908726,3.49474835395813,0.24893763298924815,900,48,6,0.8,0.04,20,1e-05,"{'n_estimators': 900, 'min_samples_split': 48, 'min_samples_leaf': 6, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 1e-05}",0.7261994837553206,0.7237259345400116,0.7285263946889386,0.7365093438167644,0.7295429407655556,0.7289008195133182,0.004301599820815711,37,0.9459074730374326,0.9453447826863409,0.9452863348189737,0.9453020830491938,0.9463685881249551,0.9456418523433794,0.00043099547883836234,RF
208.2436131477356,2.1716987983027543,3.699972915649414,0.21470687318454817,900,12,8,0.8,0.04,20,1e-05,"{'n_estimators': 900, 'min_samples_split': 12, 'min_samples_leaf': 8, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 1e-05}",0.7273693800526442,0.7238822252460269,0.7296684360005915,0.7387474135601344,0.7306526751615092,0.7300640260041812,0.0049270680154813885,3,0.9885042580391211,0.9881040690280474,0.9885879337582658,0.9888104688065227,0.9882850476831683,0.9884583554630251,0.0002443095791519097,RF
239.5133828639984,3.925809658321494,2.386979675292969,0.1148769913392304,900,24,12,,0.04,,0.0001,"{'n_estimators': 900, 'min_samples_split': 24, 'min_samples_leaf': 12, 'max_samples': None, 'max_features': 0.04, 'max_depth': None, 'ccp_alpha': 0.0001}",0.7238828982096618,0.7218635382694536,0.7264661557523748,0.7349461908331165,0.7277087278642049,0.7269735021857624,0.0044727013231922515,57,0.8821104868386317,0.8812804174559655,0.8820960378192059,0.8806655376717296,0.8807713650140223,0.8813847689599111,0.0006224174021995263,RF
210.03330812454223,4.138506122123685,2.3247045040130616,0.20581352601656727,900,48,12,,0.04,28,0.0001,"{'n_estimators': 900, 'min_samples_split': 48, 'min_samples_leaf': 12, 'max_samples': None, 'max_features': 0.04, 'max_depth': 28, 'ccp_alpha': 0.0001}",0.7226554941108035,0.7217038419595885,0.7262650533604598,0.734304967902141,0.7273294275414416,0.7264517569748868,0.004459425847722856,60,0.8721898745488075,0.8721538135609963,0.8725495524341499,0.872029154683948,0.8711681643312209,0.8720181119118244,0.0004588854328502593,RF
282.34562544822694,5.38320918127555,4.164360427856446,0.20160753762983386,1100,24,8,,0.04,20,3e-05,"{'n_estimators': 1100, 'min_samples_split': 24, 'min_samples_leaf': 8, 'max_samples': None, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 3e-05}",0.7259633958764663,0.7237664143222977,0.7291823229773761,0.7373423686639234,0.7306091097751874,0.7293727223230502,0.0046504701882693015,22,0.9836314421731022,0.983375629681061,0.9839556609884663,0.9838734324105843,0.9833447507471326,0.9836361832000693,0.00024947814870168977,RF
197.76625232696534,3.1020727173940696,1.9752391815185546,0.06328736678177434,700,24,6,,0.04,28,0.0001,"{'n_estimators': 700, 'min_samples_split': 24, 'min_samples_leaf': 6, 'max_samples': None, 'max_features': 0.04, 'max_depth': 28, 'ccp_alpha': 0.0001}",0.7229524342165301,0.7217533557688532,0.7263288309648734,0.7352009953140697,0.7287072032796414,0.7269885639087936,0.004786036890621624,56,0.9037124831565615,0.9045763522264951,0.9042805015368386,0.9029180342537709,0.9045826776350658,0.9040140097617464,0.0006328839817397076,RF
257.0925511360168,6.165665811000174,2.657178449630737,0.0800578865911614,1100,48,8,,0.04,20,0.0001,"{'n_estimators': 1100, 'min_samples_split': 48, 'min_samples_leaf': 8, 'max_samples': None, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 0.0001}",0.7236861277213604,0.7217465241683163,0.7261687240909855,0.7358711802528057,0.7277081771781417,0.7270361466823221,0.004867537334429498,55,0.8821673342007177,0.8803580719697777,0.8824419597095138,0.8807224314196758,0.8818207439690843,0.8815021082537537,0.000817812939876129,RF
218.35553917884826,2.7383527158380074,3.4742509841918947,0.138882523097178,900,12,12,,0.04,,1e-05,"{'n_estimators': 900, 'min_samples_split': 12, 'min_samples_leaf': 12, 'max_samples': None, 'max_features': 0.04, 'max_depth': None, 'ccp_alpha': 1e-05}",0.7272733297883784,0.724068207923331,0.7288046543170218,0.737580713750325,0.7304364187049699,0.7296326648968052,0.004495169537310237,14,0.9794179993659691,0.9786414236352816,0.9794014066464541,0.9793032016770241,0.9789744135552813,0.9791476889760021,0.00029931706601651876,RF
181.54052891731263,2.9176464615910525,2.7665541648864744,0.07856751237628169,700,24,8,,0.04,,3e-05,"{'n_estimators': 700, 'min_samples_split': 24, 'min_samples_leaf': 8, 'max_samples': None, 'max_features': 0.04, 'max_depth': None, 'ccp_alpha': 3e-05}",0.7256169011757999,0.723721529687128,0.7290442231502303,0.7382903033362398,0.7307005032658742,0.7294746921230544,0.005047461670252462,18,0.9870641983734187,0.9867134902893457,0.9865492001224678,0.9870375469419627,0.9869023607177062,0.9868533592889802,0.00019639525793028014,RF
116.45695748329163,2.0230170629059074,2.385541820526123,0.17226670119096674,700,48,6,0.6,0.04,,1e-05,"{'n_estimators': 700, 'min_samples_split': 48, 'min_samples_leaf': 6, 'max_samples': 0.6, 'max_features': 0.04, 'max_depth': None, 'ccp_alpha': 1e-05}",0.7253256914573895,0.722899392446391,0.7286249470984453,0.7367194407477093,0.729093948062146,0.7285326839624162,0.004676864136775364,43,0.9271969395196431,0.9265811799884334,0.925968882618772,0.9262707247601949,0.9258991238859926,0.9263833701546071,0.0004732879024432135,RF
172.00470881462098,4.9338520531641405,2.816708040237427,0.20733345227238353,700,12,12,,0.04,,3e-05,"{'n_estimators': 700, 'min_samples_split': 12, 'min_samples_leaf': 12, 'max_samples': None, 'max_features': 0.04, 'max_depth': None, 'ccp_alpha': 3e-05}",0.7270269231337877,0.7231087861010577,0.7283603934345985,0.737020013359236,0.7298156731372278,0.7290663578331816,0.004560097591512132,31,0.973040704811943,0.9721136926846672,0.973075353401503,0.9728512581886336,0.9723448866242141,0.9726851791421922,0.0003869399108579319,RF
149.43583087921144,3.656723735300322,2.8983985424041747,0.21460900743184114,700,24,6,0.8,0.04,20,0.0,"{'n_estimators': 700, 'min_samples_split': 24, 'min_samples_leaf': 6, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 0.0}",0.7261628582193076,0.7247372765263657,0.7286201948816791,0.7377539555066057,0.7302283613520362,0.7295005292971989,0.0045442798672696945,17,0.9832760445035162,0.9837305595393169,0.9838023799138493,0.9835272007817137,0.9836999826393447,0.9836072334755481,0.00018867179177037565,RF
178.16543145179747,3.5314757985011807,1.835953712463379,0.12297624388632693,700,12,12,,0.04,20,0.0001,"{'n_estimators': 700, 'min_samples_split': 12, 'min_samples_leaf': 12, 'max_samples': None, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 0.0001}",0.7237303801785697,0.7209227758934229,0.7260418623386821,0.734119386698892,0.7275123776890562,0.7264653565597244,0.004428545454655338,59,0.8789847257688708,0.878011710069658,0.8793197771513892,0.8782112661730053,0.8776594828564167,0.8784373924038681,0.0006189763228204925,RF
232.2362813949585,6.7576138139450705,3.664594554901123,0.1594902398921717,900,12,8,,0.04,20,1e-05,"{'n_estimators': 900, 'min_samples_split': 12, 'min_samples_leaf': 8, 'max_samples': None, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 1e-05}",0.7261948137955506,0.7244176391925864,0.7290443455249109,0.7377640106262013,0.7309275694858733,0.7296696757250246,0.004629257936908191,13,0.994326665895904,0.99432276661836,0.9944697314044058,0.9945454924371532,0.9943240586815641,0.9943977430074774,9.286012907789119e-05,RF
142.91181802749634,4.57662249355874,2.7105690479278564,0.16105547562028108,700,24,12,0.8,0.04,,0.0,"{'n_estimators': 700, 'min_samples_split': 24, 'min_samples_leaf': 12, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': None, 'ccp_alpha': 0.0}",0.7245438300705644,0.7240188164710909,0.7288160963496653,0.737980715789903,0.7308848199307563,0.729248855722396,0.005071481376458564,24,0.967466986477958,0.9676253909634404,0.9666604472522875,0.96714763796941,0.9675121811381707,0.9672825287602533,0.0003491418859677527,RF
172.24304175376892,1.429113962916274,2.9561306476593017,0.23362618456866682,700,24,8,,0.04,20,1e-05,"{'n_estimators': 700, 'min_samples_split': 24, 'min_samples_leaf': 8, 'max_samples': None, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 1e-05}",0.7250521419361877,0.7231028517853675,0.72904956684462,0.7366810150979762,0.7301892830373395,0.7288149717402982,0.004703309622451783,38,0.9869093018355669,0.9866119510116134,0.9872702026658929,0.9871422411254803,0.9865722112758601,0.9869011815828828,0.0002779309221898062,RF
114.10614881515502,1.4813834730593776,2.462967538833618,0.2709339310795334,700,48,6,0.6,0.04,,0.0,"{'n_estimators': 700, 'min_samples_split': 48, 'min_samples_leaf': 6, 'max_samples': 0.6, 'max_features': 0.04, 'max_depth': None, 'ccp_alpha': 0.0}",0.7253353372694908,0.7229042867273727,0.72862759854986,0.7367330243372646,0.7290968442629221,0.7285394182293821,0.00467919912902611,42,0.9272827414712703,0.9266679532540485,0.9260527924524742,0.9263554350705121,0.9259890946533006,0.9264696033803211,0.00047290392610769004,RF
134.06483249664308,2.719955552635747,2.5570476055145264,0.1885033961352392,700,48,12,0.8,0.04,20,1e-05,"{'n_estimators': 700, 'min_samples_split': 48, 'min_samples_leaf': 12, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 1e-05}",0.7242007205809103,0.7233846807985631,0.7277778083714479,0.7368715320800127,0.7295027814745129,0.7283475046610894,0.0048196203318250615,46,0.9295761501880868,0.9281277451251702,0.9281522985787971,0.9281362852225645,0.9281532877027672,0.9284291533634772,0.0005735801294160701,RF
268.4167239665985,7.369532599264709,4.406586837768555,0.2961222363588616,1100,24,6,,0.04,20,0.0,"{'n_estimators': 1100, 'min_samples_split': 24, 'min_samples_leaf': 6, 'max_samples': None, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 0.0}",0.7271833769825025,0.7246892310013955,0.7293863419658473,0.7389113548406836,0.7305386831464571,0.7301417975873772,0.00481904763645345,2,0.9916572834591217,0.9915608697109755,0.9919822605204679,0.9918054074489703,0.9915879607807248,0.9917187563840522,0.00015668915013118012,RF
156.8146499633789,3.662722565352807,3.1180112838745115,0.12738092872960982,700,12,8,0.8,0.04,,0.0,"{'n_estimators': 700, 'min_samples_split': 12, 'min_samples_leaf': 8, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': None, 'ccp_alpha': 0.0}",0.7260765557313305,0.7240237719305849,0.7281794012818747,0.73851396346096,0.7304946078656326,0.7294576600540765,0.005013678175352833,19,0.9922802743082477,0.9915852787550049,0.9920785433263066,0.992261987583435,0.9918078241745468,0.9920027816295083,0.00026916419058650183,RF
222.8228036403656,5.741959066143246,4.065850257873535,0.385996312439401,900,12,6,0.8,0.04,28,1e-05,"{'n_estimators': 900, 'min_samples_split': 12, 'min_samples_leaf': 6, 'max_samples': 0.8, 'max_features': 0.04, 'max_depth': 28, 'ccp_alpha': 1e-05}",0.7264512333333164,0.7235745381149778,0.7298420652766944,0.7378202417919733,0.731252290701054,0.7297880738436031,0.00482504090911794,9,0.9983675105413699,0.9983666080606568,0.9983445404308247,0.9985105373568925,0.9984215353192462,0.998402146341798,5.984244927565983e-05,RF
214.40031695365906,4.189791258997833,3.642814779281616,0.15541569366231328,900,24,12,,0.04,20,0.0,"{'n_estimators': 900, 'min_samples_split': 24, 'min_samples_leaf': 12, 'max_samples': None, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 0.0}",0.7267331235250243,0.7238196600208109,0.7286762424854297,0.7374384939755965,0.7302454530157712,0.7293825946045265,0.004563045272942872,21,0.977139791330653,0.9762256828930065,0.9767718524379994,0.9769320459086085,0.9762702136278341,0.9766679172396202,0.0003624833836699988,RF
179.81969585418702,4.204881568152022,3.6231725215911865,0.11465000185250133,1100,24,12,0.6,0.04,20,0.0,"{'n_estimators': 1100, 'min_samples_split': 24, 'min_samples_leaf': 12, 'max_samples': 0.6, 'max_features': 0.04, 'max_depth': 20, 'ccp_alpha': 0.0}",0.7259232627724165,0.7245912026318996,0.7296649891137523,0.7376966841560482,0.7300356824173078,0.7295823642182848,0.0045684839867917585,15,0.9441793473917226,0.9435862110634701,0.9440060795434122,0.9437174146746736,0.9437836095020142,0.9438545324350585,0.00021180131407464486,RF
