mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model
22.881355953216552,0.12179262611219764,0.6284358978271485,0.02012389650731404,0.8,400,6,0.09,0.8,"{'subsample': 0.8, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.09, 'colsample_bytree': 0.8}",0.7380965019656147,0.7381749939968585,0.7398118795221269,0.7508008505040307,0.7414525466680943,0.741667354531345,0.004729846694345051,46,0.959141582780362,0.9576263565413218,0.9593178785687171,0.9577528875154456,0.9584053466994233,0.9584488104210539,0.0006925086507818771,XGB
15.996565818786621,0.2794216202702309,0.6091816425323486,0.019009496279377414,0.7,400,4,0.07,0.6,"{'subsample': 0.7, 'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.07, 'colsample_bytree': 0.6}",0.7433909719889084,0.740542898117894,0.7476665595888211,0.7545728562760365,0.7478976947669527,0.7468141961477224,0.004756993636756415,16,0.8159913941835628,0.8165485045779863,0.8151727219493492,0.8141004765130219,0.815114188371522,0.8153854571190884,0.0008354468578635162,XGB
13.325102949142456,0.1949091956077022,0.560593557357788,0.016555534887302693,0.7,300,4,0.05,0.7,"{'subsample': 0.7, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",0.7379341953725593,0.7355984201668847,0.7433528520949017,0.7516745343388453,0.7430952533920732,0.7423310510730528,0.005542371712912164,43,0.7867968110563575,0.7871881817601255,0.7862001234875389,0.7848418026223513,0.7858470349097029,0.7861747907672152,0.0008122553278146972,XGB
26.742927694320677,0.15739016528408697,0.7143951416015625,0.10001756296297666,0.7,500,6,0.04,0.6,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.04, 'colsample_bytree': 0.6}",0.7419422852111652,0.7416592122348866,0.7474712597963481,0.7547902446983719,0.7471092448972307,0.7465944493676006,0.0047792063977970325,18,0.9037297985492241,0.9027171960689062,0.9039154459610728,0.9038895407278167,0.9038292392183576,0.9036162441050756,0.000454040019390742,XGB
27.376596117019652,0.4198294246973479,0.6880690097808838,0.03474205921213381,0.9,500,6,0.07,0.8,"{'subsample': 0.9, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.07, 'colsample_bytree': 0.8}",0.7407836049744247,0.7398220317078033,0.7415381273614489,0.7514491099791454,0.7473029232251847,0.7441791594496013,0.0044743599245155394,36,0.959605730013207,0.9582871706375606,0.9588674626140457,0.9581464454122111,0.9595161386537666,0.9588845894661582,0.000603482774430296,XGB
26.194857788085937,0.20171877096204158,0.6774649143218994,0.02946961489821004,0.9,650,5,0.09,0.7,"{'subsample': 0.9, 'n_estimators': 650, 'max_depth': 5, 'learning_rate': 0.09, 'colsample_bytree': 0.7}",0.7409949869307404,0.737769196924964,0.7450940602389367,0.7549435597774821,0.7456053212590316,0.744881425026231,0.005787987299163882,32,0.9403843299520476,0.9388809430362587,0.939725806805224,0.9384757077016301,0.9390847282828019,0.9393103031555924,0.0006720060341163813,XGB
22.117142486572266,0.49657178575547023,0.6404114723205566,0.021570785429329373,0.7,500,5,0.09,0.8,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.09, 'colsample_bytree': 0.8}",0.7407355900387107,0.7405310396829322,0.7432473243285964,0.7506828507181864,0.7460206609252547,0.7442434931387362,0.0037869169121182624,35,0.9122092071388264,0.9131681279503503,0.9129251333851518,0.9125191515304781,0.913146003747964,0.9127935247505541,0.00037379073527398616,XGB
23.24075918197632,0.4232228487564691,0.6439918518066406,0.011736869247881615,0.8,650,4,0.04,0.7,"{'subsample': 0.8, 'n_estimators': 650, 'max_depth': 4, 'learning_rate': 0.04, 'colsample_bytree': 0.7}",0.7431282510643786,0.7406078085194137,0.7489046854205865,0.7574181389870437,0.7482204171956822,0.747655860237421,0.005785406694884776,9,0.8157558448054396,0.8149149832575806,0.8148791924006727,0.8130716677675345,0.814353983505593,0.8145951343473641,0.0008842335911790212,XGB
18.719000148773194,0.27334656147881287,0.648049783706665,0.04744210591567303,0.7,400,5,0.05,0.7,"{'subsample': 0.7, 'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",0.7426652928691855,0.739223338786718,0.7457413611123859,0.755719374461424,0.7471964674508844,0.7461091669361195,0.005530795423893221,22,0.8462832485430608,0.8453231110396717,0.8450801164922911,0.8446126400611014,0.8451341448398703,0.8452866521951992,0.0005504073718306556,XGB
16.256600761413573,0.17472510331768681,0.6050766468048095,0.010615438504277552,0.8,400,4,0.04,0.7,"{'subsample': 0.8, 'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.04, 'colsample_bytree': 0.7}",0.7388238532980063,0.7358888039753797,0.7442699993371371,0.7529291705546122,0.743732183011335,0.743128802035294,0.005807990677276659,38,0.7911800916833727,0.7908819907041937,0.7900887177919693,0.7881693169920536,0.7898964427991904,0.7900433119941559,0.0010517736976456242,XGB
23.190036821365357,0.4062114052320313,0.6171284675598144,0.011565514148829437,0.7,650,4,0.04,0.7,"{'subsample': 0.7, 'n_estimators': 650, 'max_depth': 4, 'learning_rate': 0.04, 'colsample_bytree': 0.7}",0.7430957856672,0.7409316569741209,0.7480169182996038,0.7558007332282952,0.7500270855959902,0.7475744359530421,0.005254865720540913,10,0.8146012443781379,0.8140930158062869,0.8142612888234346,0.8128385366012834,0.8139790073733074,0.81395461859649,0.0005962481278334765,XGB
32.391336059570314,0.727374107524681,0.7198830604553222,0.01881023636791114,0.8,650,6,0.05,0.6,"{'subsample': 0.8, 'n_estimators': 650, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.7416661356031921,0.7417108367028248,0.7468744384786787,0.7545223767202567,0.7464813404106689,0.7462510255831243,0.004700882244616431,21,0.9491325630719933,0.9492369308874407,0.9511509649184751,0.9497862708318303,0.949576064780482,0.9497765588980442,0.0007259770155632195,XGB
22.012443208694457,0.24161760216164718,0.6332669258117676,0.01954733361839956,0.8,500,5,0.05,0.7,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",0.7428576992902783,0.7404666085130918,0.7489349833519445,0.7576955929818121,0.7500755153758688,0.7480060799025992,0.00603956190912872,5,0.8642967164106047,0.8641647050245613,0.8640211675078894,0.8638472990160001,0.8647064800111557,0.8642072735940424,0.0002909420284418428,XGB
23.10787925720215,0.3881349307023599,0.6459889888763428,0.02554151825744695,0.8,650,4,0.05,0.8,"{'subsample': 0.8, 'n_estimators': 650, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.7442036469530806,0.7438097287089855,0.7494061360704469,0.7577542410475273,0.7504475140093514,0.7491242533578784,0.00507471582994556,1,0.8290689432804893,0.8281581394773744,0.8279996083018092,0.8268323610771561,0.8286476247131095,0.8281413353699877,0.0007550586697412897,XGB
16.043799686431885,0.1380328280752297,0.5924343585968017,0.022976698256161075,0.7,400,4,0.05,0.6,"{'subsample': 0.7, 'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.7403950092608972,0.7387229903241085,0.7469194519653883,0.754590427240604,0.7457994686899281,0.7452854694961852,0.005594623610273075,28,0.7994379208628939,0.7994480266073749,0.7986466069096427,0.7978705633137488,0.798944233802394,0.798869470299211,0.0005849677397072085,XGB
22.99736957550049,0.12106504136598172,0.7013182640075684,0.044392488062544436,0.9,400,6,0.04,0.7,"{'subsample': 0.9, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.04, 'colsample_bytree': 0.7}",0.7403651643433277,0.7391203651541469,0.7452803858881598,0.7540356212299675,0.7474390854532198,0.7452481244137644,0.005355635984030808,29,0.8899873939505495,0.8889082265068529,0.8897547883924772,0.8893957121730824,0.8898156373616597,0.8895723516769245,0.0003839257543626876,XGB
27.237214708328246,0.5607072559732232,0.6668088912963868,0.012995165593807907,0.8,650,5,0.07,0.8,"{'subsample': 0.8, 'n_estimators': 650, 'max_depth': 5, 'learning_rate': 0.07, 'colsample_bytree': 0.8}",0.7400523586100853,0.7418016969899661,0.7455083291267037,0.7544861232211055,0.7467198180696414,0.7457136652035005,0.0050072829721011375,27,0.917816595779016,0.9176994829728786,0.91845690606101,0.9173090111233109,0.9170758958901135,0.9176715783652659,0.0004743081115186932,XGB
13.223922443389892,0.5101244698784286,0.5786513805389404,0.01637227370343199,0.7,300,4,0.07,0.6,"{'subsample': 0.7, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.07, 'colsample_bytree': 0.6}",0.7410614981699978,0.7384114897324612,0.7460662760874774,0.7522914149062558,0.7455398100133083,0.7446740977819,0.00475357284180956,34,0.800877329799212,0.8014090655717248,0.8003274083192975,0.798498929808653,0.7997850114832705,0.8001795489964316,0.001000061212189409,XGB
23.341902494430542,0.5023621205176861,0.68687744140625,0.0698340679492826,0.7,650,4,0.04,0.6,"{'subsample': 0.7, 'n_estimators': 650, 'max_depth': 4, 'learning_rate': 0.04, 'colsample_bytree': 0.6}",0.7436759924811609,0.7421553699694056,0.7481578429422951,0.756252836288172,0.7492954991612235,0.7479075081684514,0.004952302631978757,8,0.8135077200979013,0.8129760665429112,0.8128910672418201,0.8115127529435998,0.8127020610743263,0.8127179335801117,0.0006592545696535648,XGB
22.088982629776,0.3251207570303872,0.6258597373962402,0.01084662258019458,0.8,400,6,0.09,0.7,"{'subsample': 0.8, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.09, 'colsample_bytree': 0.7}",0.7393769172453559,0.735820110702518,0.7434324058352327,0.7493685058561382,0.7431147925494215,0.7422225464377333,0.004525779219959879,44,0.9567450885865124,0.9561100238711249,0.9574248074586066,0.956159958808595,0.9566040589008029,0.9566087875251285,0.00047638246617527494,XGB
32.89473695755005,0.4159482878846639,0.7370566844940185,0.025529001799767297,0.8,650,6,0.09,0.7,"{'subsample': 0.8, 'n_estimators': 650, 'max_depth': 6, 'learning_rate': 0.09, 'colsample_bytree': 0.7}",0.736773353495052,0.7342115440793731,0.7381008673305494,0.7456679261060887,0.7414637337534864,0.7392434849529099,0.003973172593077655,50,0.9887640105987946,0.9886024378706402,0.9891071269696123,0.9887204578879194,0.9884953493328383,0.988737876531961,0.00020712091039288045,XGB
22.512228775024415,0.21059284628139868,0.6562494277954102,0.0451576645723667,0.7,650,4,0.07,0.7,"{'subsample': 0.7, 'n_estimators': 650, 'max_depth': 4, 'learning_rate': 0.07, 'colsample_bytree': 0.7}",0.7439579234585436,0.7435480274263271,0.7494606947822495,0.7571704016438998,0.7501912410322303,0.7488656576686501,0.004968763616553433,2,0.847944980033889,0.8479374077363248,0.8475664682385409,0.8468424944992725,0.8470158410243245,0.8474614383064705,0.0004589202896508241,XGB
26.811716747283935,0.13729229713156416,0.672576904296875,0.02326158465309348,0.7,500,6,0.09,0.8,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.09, 'colsample_bytree': 0.8}",0.735142456714928,0.7346069713934374,0.739982133296621,0.7501602700401286,0.7365497478571683,0.7392883158604566,0.005749498397281329,49,0.9745422650965713,0.9721982779444293,0.9732599085111314,0.9725721735463895,0.9734335807077996,0.9732012411612644,0.0008071468263332591,XGB
21.63149766921997,0.23048294127980284,0.6249448299407959,0.009101335683283671,0.8,500,5,0.05,0.6,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.7422603726893003,0.7417064318499413,0.7484071405626176,0.7558974194239212,0.7476658457365171,0.7471874420524595,0.005136102134916443,14,0.8629797249039936,0.8621087895885338,0.8622608372169621,0.8611920836686711,0.8627350692628962,0.8622553009282112,0.0006175588904365326,XGB
13.343964862823487,0.26445538810876407,0.5665198802947998,0.016384240674756755,0.8,300,4,0.05,0.8,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.737881653226937,0.7364810425634205,0.7429246936808774,0.7516057087788537,0.7438919941464112,0.7425570184792999,0.0053399000888822235,41,0.7880934648796699,0.7884670823346667,0.7874777549078266,0.7856041527146227,0.7876981421804524,0.7874681194034477,0.0009916006293378434,XGB
22.946970844268797,0.33117689529430994,0.6428675651550293,0.022498599211033102,0.9,650,4,0.05,0.8,"{'subsample': 0.9, 'n_estimators': 650, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.7431640710833134,0.7422034766728882,0.7489371045130763,0.7565691442440559,0.7493880450134868,0.7480523683053641,0.005161535544298658,4,0.8302507768281193,0.8290205636858842,0.8292129243577642,0.8275032025437821,0.8295543607748104,0.8291083656380721,0.000905450744886954,XGB
15.896230697631836,0.6207791872756159,0.5830451488494873,0.019610323501705797,0.8,300,5,0.04,0.7,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.04, 'colsample_bytree': 0.7}",0.7379364385846758,0.7353438767701619,0.7436317745858382,0.7513652527292103,0.744272681382222,0.7425100048104216,0.005568693041274631,42,0.8137667709405798,0.8134118691255102,0.8122553129086031,0.8110084858169055,0.8122375641241677,0.8125360005831533,0.0009780687734521965,XGB
27.207778215408325,0.21126867252540327,0.6771544933319091,0.022656659947728704,0.8,500,6,0.07,0.8,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.07, 'colsample_bytree': 0.8}",0.7402409617669985,0.7386570908699737,0.7428365431192286,0.751123154819268,0.7439348150867584,0.7433585131324454,0.004306198670945168,37,0.9580341044657117,0.9580948810605626,0.9586266192125094,0.9576849668197345,0.9573692865025623,0.9579619716122162,0.0004225237974012719,XGB
32.682291746139526,0.2693343285747234,0.7182238578796387,0.04124599703908571,0.8,650,6,0.07,0.7,"{'subsample': 0.8, 'n_estimators': 650, 'max_depth': 6, 'learning_rate': 0.07, 'colsample_bytree': 0.7}",0.7389111346421795,0.7376958438887509,0.7426737236065859,0.7506409271921639,0.7445594052590518,0.7428962069177464,0.004598282208609542,39,0.9769654200748166,0.9757608027132547,0.9762903555569266,0.9761169019617539,0.9766125862711125,0.9763492133155729,0.0004129735879287573,XGB
28.362935924530028,0.4524663303088615,0.7236667156219483,0.0714005112086974,0.7,500,6,0.04,0.8,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.04, 'colsample_bytree': 0.8}",0.7414032617323818,0.7406274876075276,0.747528418970115,0.7559296855480602,0.7462667666059892,0.7463511240928148,0.005484219826358412,20,0.909422623942278,0.9070686285594611,0.9080664761413355,0.9079389843073442,0.9076455248641039,0.9080284475629046,0.0007773107404769026,XGB
21.152939891815187,0.4830536810899294,0.6263563632965088,0.013428677815650892,0.7,500,5,0.09,0.6,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.09, 'colsample_bytree': 0.6}",0.7431469716891336,0.7414581184650515,0.7456711180456763,0.7529375532202387,0.7462558344678487,0.7458939191775898,0.00392467710809842,24,0.9081941118742116,0.9087748983657578,0.9088345876258042,0.9081358448329615,0.9079277725361571,0.9083734430469784,0.0003636084379115203,XGB
15.62554612159729,0.23685483297815366,0.6208661556243896,0.04385554708294272,0.7,400,4,0.09,0.8,"{'subsample': 0.7, 'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.09, 'colsample_bytree': 0.8}",0.7413420220415983,0.7406473502311783,0.746056067999531,0.7555652741447794,0.749149312407263,0.74655200536487,0.005481602873581659,19,0.8326616202103673,0.8323182224750074,0.8313485417941842,0.8312730630951474,0.8317829928291061,0.8318768880807624,0.0005409531020070833,XGB
19.83944435119629,0.28709750714355975,0.6362539768218994,0.04175646483725307,0.8,400,5,0.04,0.8,"{'subsample': 0.8, 'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.04, 'colsample_bytree': 0.8}",0.7408879245342659,0.7383177846444993,0.7455583497774311,0.7545408960885993,0.7467744481666743,0.7452158806422939,0.005582423548571295,30,0.8328395860927722,0.8327792741225255,0.832328640008076,0.8313874369274139,0.832100766112205,0.8322871406525986,0.0005278855511404156,XGB
26.35064916610718,0.3937876030953079,0.7062222957611084,0.032970942748529374,0.7,650,5,0.07,0.6,"{'subsample': 0.7, 'n_estimators': 650, 'max_depth': 5, 'learning_rate': 0.07, 'colsample_bytree': 0.6}",0.7402324987394677,0.74330768764087,0.7463099852640488,0.7552894620103101,0.744729832397677,0.7459738932104748,0.005069767841824362,23,0.9121521131241728,0.9115912130755689,0.9117469012759953,0.9100241124460602,0.9118327734245842,0.9114694226692764,0.0007454983501221542,XGB
26.58618688583374,0.2919483450186633,0.647871732711792,0.005817011907282376,0.8,500,6,0.09,0.8,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.09, 'colsample_bytree': 0.8}",0.7373169245765809,0.7382075919474802,0.7385120360597393,0.7494282145024194,0.740208852788358,0.7407347239749156,0.004446603392169505,48,0.9752661604276739,0.9750445121843181,0.9761260692034978,0.9747333380410196,0.9751953245792462,0.9752730808871511,0.000464165702280383,XGB
15.541748189926148,0.261590098707512,0.5872832775115967,0.020723439540168087,0.9,400,4,0.07,0.6,"{'subsample': 0.9, 'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.07, 'colsample_bytree': 0.6}",0.7410688293950516,0.7397614343913987,0.7476335592165981,0.7555849050831382,0.7499847643522556,0.7468066984876884,0.005837800960081534,17,0.8180977975519064,0.8176730745771565,0.8168890553432706,0.815641326440737,0.817334072542046,0.8171270652910232,0.0008423025503129308,XGB
14.999427223205567,0.20456796788996193,0.5700943946838379,0.011716901141395926,0.9,300,5,0.07,0.8,"{'subsample': 0.9, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.07, 'colsample_bytree': 0.8}",0.7412651308480922,0.737823339908324,0.7446736726171356,0.7532354029951203,0.7469340757397295,0.7447863244216804,0.0052324833952785465,33,0.8526282679393855,0.85126418746207,0.8512548293085591,0.8506891109432546,0.8517514020449882,0.8515175595396516,0.0006492930197440351,XGB
25.47693877220154,0.5674396959706611,0.6763255596160889,0.03121890936281971,0.9,500,6,0.09,0.6,"{'subsample': 0.9, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.09, 'colsample_bytree': 0.6}",0.7364579782642942,0.7371261699753195,0.744322630647719,0.7493372187294448,0.7419669690341069,0.7418421933301769,0.00476600864786157,45,0.9730367660190009,0.9726263074657463,0.9742332128709502,0.9732455120411823,0.9734826251961995,0.9733248847186159,0.0005342779568368971,XGB
34.22669878005981,0.33342401803721067,0.7158561706542969,0.02544413272906579,0.8,650,6,0.04,0.8,"{'subsample': 0.8, 'n_estimators': 650, 'max_depth': 6, 'learning_rate': 0.04, 'colsample_bytree': 0.8}",0.7424345275208989,0.7421756098605488,0.7474562383042949,0.7553127030017489,0.7490093871577971,0.7472776931690577,0.00483899851270629,13,0.9338506047704263,0.9328822085487614,0.93479645269043,0.9350619075612665,0.9348976843027301,0.9342977715747228,0.0008241673099138516,XGB
27.217893600463867,0.4655697530231705,0.6742807388305664,0.022224106425595698,0.9,500,6,0.09,0.8,"{'subsample': 0.9, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.09, 'colsample_bytree': 0.8}",0.7366077840480088,0.7396608263279687,0.738875040154192,0.7485660236896985,0.7443573238696913,0.741613399617912,0.004295007427744224,47,0.9768759909920187,0.9748497509828818,0.9766292649916651,0.9764762821838124,0.9774107130793545,0.9764484004459465,0.0008600056698031969,XGB
23.353558206558226,0.2918053930673666,0.6502919673919678,0.023230810812406154,0.8,400,6,0.05,0.8,"{'subsample': 0.8, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.7406391930962087,0.7413210582047269,0.7456958581269535,0.755031384006649,0.7467767120982669,0.7458928411065611,0.005154318827530257,25,0.9086454293494631,0.907712766520209,0.9092257759588322,0.9083739923618216,0.9093167600683514,0.9086549448517355,0.0005883149477182981,XGB
23.343983936309815,0.44893228108694105,0.6621300220489502,0.03375667427226767,0.7,650,4,0.04,0.8,"{'subsample': 0.7, 'n_estimators': 650, 'max_depth': 4, 'learning_rate': 0.04, 'colsample_bytree': 0.8}",0.7418497629077738,0.7419622090133284,0.749391165567844,0.7567459042724061,0.7499651028202265,0.7479828289163157,0.005595831919063697,6,0.8154633499140794,0.8154352933438351,0.8149838655525596,0.8138578989579273,0.8148862915320536,0.8149253398600911,0.0005820459572901427,XGB
18.194343900680543,0.38064770877862436,0.638611125946045,0.05068854192160676,0.7,500,4,0.07,0.6,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.07, 'colsample_bytree': 0.6}",0.7444692840533619,0.7432172148176396,0.7486712557171921,0.75516680178871,0.7487548886135459,0.74805588899809,0.004188289871326829,3,0.8292101636664069,0.8291065587530877,0.8286887294422183,0.8270851529942796,0.828024996029483,0.8284231201770951,0.0007881285481626843,XGB
13.060361003875732,0.23469918784095592,0.5959433555603028,0.026371558440602495,0.8,300,4,0.07,0.6,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.07, 'colsample_bytree': 0.6}",0.7403158238731811,0.739012221937289,0.745904598738521,0.7538999790943254,0.7456023842666952,0.7449470015820023,0.00525683824205609,31,0.801664990873855,0.8016343097163393,0.8009726466433644,0.7992470121700488,0.800584871807749,0.8008207662422713,0.0008865645981069927,XGB
33.206311750411984,0.7133379437874396,0.7192691326141357,0.02311686979215368,0.7,650,6,0.04,0.6,"{'subsample': 0.7, 'n_estimators': 650, 'max_depth': 6, 'learning_rate': 0.04, 'colsample_bytree': 0.6}",0.742203486869307,0.7425711085495441,0.7481789117831521,0.7552172609487098,0.7475028834534134,0.7471347303208253,0.004726456572432363,15,0.9288428712245428,0.927331192448531,0.9283155212415647,0.9289626243702301,0.9282906331744532,0.9283485684918643,0.0005763510125944857,XGB
17.811504220962526,0.22682012261863563,0.6174149513244629,0.012271433672361122,0.9,500,4,0.09,0.6,"{'subsample': 0.9, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.09, 'colsample_bytree': 0.6}",0.7429811983137162,0.7422841099520615,0.7483368465064578,0.7572289273349344,0.7490704419255656,0.7479803048065471,0.0053719687478905225,7,0.8468153871176995,0.8456280003818972,0.8470531938379615,0.8449515545944171,0.8462851581948284,0.8461466588253608,0.0007727180646502159,XGB
23.062714719772337,0.26948639631371585,0.6387702465057373,0.013195857310944581,0.9,650,4,0.04,0.8,"{'subsample': 0.9, 'n_estimators': 650, 'max_depth': 4, 'learning_rate': 0.04, 'colsample_bytree': 0.8}",0.7426925682892398,0.7405464974536993,0.7485771903793105,0.7561055277663051,0.749026856143464,0.7473897280064037,0.005457994772532058,11,0.8175153533256605,0.8164785476637924,0.8161958151898341,0.8146374943501393,0.8162621852807647,0.8162178791620383,0.0009221120623634431,XGB
15.652169942855835,0.3860026378036685,0.5925521850585938,0.022828094160046938,0.8,400,4,0.07,0.6,"{'subsample': 0.8, 'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.07, 'colsample_bytree': 0.6}",0.7427810222215651,0.7412959036397646,0.7484159107480663,0.7560018764117704,0.747972037385465,0.7472933500813264,0.005174739728502832,12,0.8168767762012267,0.817008184021426,0.8159068227375128,0.8149148588599122,0.8162824476637427,0.816197817896764,0.0007557118373566443,XGB
26.265599298477174,0.17705010678648642,0.6738332748413086,0.014563842047325894,0.7,500,6,0.07,0.7,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.07, 'colsample_bytree': 0.7}",0.74038390536092,0.7386688065550737,0.7407306176352113,0.7514293464682158,0.7423891310887777,0.7427203614216398,0.004511969374253166,40,0.9546798073637073,0.953935856693201,0.9542587975311669,0.9541077936085767,0.9539023878676297,0.9541769286128563,0.00028208420653960415,XGB
21.89193081855774,0.5595342668073148,0.6292961597442627,0.019338454916823223,0.8,500,5,0.07,0.8,"{'subsample': 0.8, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.07, 'colsample_bytree': 0.8}",0.7394806658057491,0.741954113056871,0.7456340385174308,0.7550542680719359,0.7472491803445868,0.7458744531593147,0.005337907063735448,26,0.8934231647933606,0.8932771853513103,0.8932888894610627,0.892868967459096,0.8921271410518824,0.8929970696233424,0.0004729411414926654,XGB
